     0.000 -7.8887E+0003
    -0.050  6.8828E+0004
    -0.100  9.6752E+0004
    -0.150  1.1020E+0005
    -0.200  1.1921E+0005
    -0.250  1.2582E+0005
    -0.300  1.2923E+0005
    -0.350  1.3103E+0005
    -0.400  1.3340E+0005
    -0.450  1.3595E+0005
    -0.500  1.3677E+0005
    -0.550  1.3837E+0005
    -0.600  1.3687E+0005
    -0.650  1.3873E+0005
    -0.700  1.3648E+0005
    -0.750  1.3798E+0005
    -0.800  1.3993E+0005
    -0.850  1.3831E+0005
    -0.900  1.3930E+0005
    -0.950  1.4040E+0005
    -1.000  1.4140E+0005
    -1.050  1.3911E+0005
    -1.100  1.3800E+0005
    -1.150  1.3556E+0005
    -1.200  1.3695E+0005
    -1.250  1.3577E+0005
    -1.300  1.3162E+0005
    -1.350  1.2802E+0005
    -1.400  1.2711E+0005
    -1.450  1.2407E+0005
    -1.500  1.1848E+0005
    -1.550  1.1530E+0005
    -1.600  1.1294E+0005
    -1.650  1.0912E+0005
    -1.700  1.0567E+0005
    -1.750  1.0730E+0005
    -1.800  1.0650E+0005
    -1.850  1.0508E+0005
    -1.900  1.0560E+0005
    -1.950  1.0361E+0005
    -2.000  1.0038E+0005
    -2.050  9.7190E+0004
    -2.100  9.7613E+0004
    -2.150  9.4410E+0004
    -2.200  9.0649E+0004
    -2.250  9.1157E+0004
    -2.300  8.8141E+0004
    -2.350  8.7067E+0004
    -2.400  8.6334E+0004
    -2.450  8.4860E+0004
    -2.500  8.4258E+0004
    -2.550  8.3906E+0004
    -2.600  8.5389E+0004
    -2.650  8.4119E+0004
    -2.700  8.4018E+0004
    -2.750  8.4025E+0004
    -2.800  8.2681E+0004
    -2.850  7.8721E+0004
    -2.900  7.9469E+0004
    -2.950  7.5561E+0004
    -3.000  7.4621E+0004
    -3.050  7.4905E+0004
    -3.100  6.9416E+0004
    -3.150  6.6849E+0004
    -3.200  6.5333E+0004
    -3.250  6.6374E+0004
    -3.300  6.3218E+0004
    -3.350  6.1050E+0004
    -3.400  5.8804E+0004
    -3.450  5.9514E+0004
    -3.500  5.9170E+0004
    -3.550  5.7112E+0004
    -3.600  5.5297E+0004
    -3.650  5.6588E+0004
    -3.700  5.3902E+0004
    -3.750  5.6268E+0004
    -3.800  5.3254E+0004
    -3.850  4.9753E+0004
    -3.900  4.5540E+0004
    -3.950  4.5128E+0004
    -4.000  4.3885E+0004
    -4.050  4.2440E+0004
    -4.100  4.2686E+0004
    -4.150  4.2125E+0004
    -4.200  4.0725E+0004
    -4.250  4.1297E+0004
    -4.300  4.3517E+0004
    -4.350  4.2136E+0004
    -4.400  4.0713E+0004
    -4.450  3.8370E+0004
    -4.500  4.0140E+0004
    -4.550  3.8578E+0004
    -4.600  4.0757E+0004
    -4.650  3.9532E+0004
    -4.700  3.7868E+0004
    -4.750  3.6336E+0004
