   19.985  10.39500 930.00000   3.35501  19.77145   3.22734
   20.049  10.35000 940.00000   3.38549  19.78982   3.25549
   20.111  10.30500 950.00000   3.41584  19.85371   3.28443
   20.169  10.26000 960.00000   3.44605  19.91473   3.31323
   20.224  10.21500 970.00000   3.47611  19.97289   3.34188
   20.276  10.17000 980.00000   3.50603  20.02819   3.37037
   20.326  10.12500 990.00000   3.53580  20.02968   3.39756
   20.372  10.08000 1000.00000   3.56543  20.07889   3.42572
   20.415  10.03500 1010.00000   3.59491  20.12530   3.45371
   20.455   9.99000 1020.00000   3.62424  20.16890   3.48154
   20.493   9.94500 1030.00000   3.65341  20.26237   3.51052
   20.527   9.90000 1040.00000   3.68243  20.30082   3.53806
   20.615   9.87000 1050.00000   3.71218  20.33650   3.56544
   20.644   9.82500 1060.00000   3.74092  20.36943   3.59264
   20.670   9.78000 1070.00000   3.76949  20.39961   3.61968
   20.750   9.75000 1080.00000   3.79888  20.48179   3.64803
   20.771   9.70500 1090.00000   3.82716  20.50692   3.67476
   20.847   9.67500 1100.00000   3.85632  20.52935   3.70130
   20.862   9.63000 1110.00000   3.88430  20.60502   3.72929
   20.934   9.60000 1120.00000   3.91322  20.62246   3.75551
   20.944   9.55500 1130.00000   3.94089  20.69398   3.78325
   21.011   9.52500 1140.00000   3.96957  20.70647   3.80914
   21.016   9.48000 1150.00000   3.99693  20.77386   3.83662
   21.079   9.45000 1160.00000   4.02536  20.78145   3.86218
   21.140   9.42000 1170.00000   4.05367  20.84475   3.88941
   21.138   9.37500 1180.00000   4.08057  20.90622   3.91652
   21.194   9.34500 1190.00000   4.10863  20.90672   3.94158
   21.249   9.31500 1200.00000   4.13657  20.96414   3.96842
   21.301   9.28500 1210.00000   4.16441  21.01976   3.99515
   21.352   9.25500 1220.00000   4.19212  21.01324   4.01970
   21.338   9.21000 1230.00000   4.21824  21.06486   4.04615
   21.384   9.18000 1240.00000   4.24569  21.11469   4.07248
   21.429   9.15000 1250.00000   4.27301  21.16273   4.09870
   21.472   9.12000 1260.00000   4.30022  21.20900   4.12478
   21.513   9.09000 1270.00000   4.32731  21.25349   4.15075
   21.552   9.06000 1280.00000   4.35427  21.29622   4.17659
   21.589   9.03000 1290.00000   4.38111  21.33719   4.20230
   21.624   9.00000 1300.00000   4.40783  21.37641   4.22789
   21.658   8.97000 1310.00000   4.43443  21.41388   4.25335
   21.689   8.94000 1320.00000   4.46089  21.44962   4.27868
   21.719   8.91000 1330.00000   4.48723  21.48362   4.30388
   21.747   8.88000 1340.00000   4.51344  21.51589   4.32895
   21.773   8.85000 1350.00000   4.53953  21.54644   4.35389
   21.866   8.83500 1360.00000   4.56742  21.57528   4.37869
   21.889   8.80500 1370.00000   4.59328  21.60241   4.40336
   21.910   8.77500 1380.00000   4.61902  21.62784   4.42789
   21.930   8.74500 1390.00000   4.64461  21.65157   4.45228
   22.017   8.73000 1400.00000   4.67216  21.67362   4.47654
   22.033   8.70000 1410.00000   4.69753  21.76153   4.50354
   22.048   8.67000 1420.00000   4.72277  21.78058   4.52756
   22.060   8.64000 1430.00000   4.74786  21.79796   4.55144
   22.143   8.62500 1440.00000   4.77506  21.81367   4.57518
   22.152   8.59500 1450.00000   4.79992  21.89675   4.60183
   22.160   8.56500 1460.00000   4.82465  21.90951   4.62533
   22.239   8.55000 1470.00000   4.85158  21.92062   4.64868
   22.244   8.52000 1480.00000   4.87607  22.00021   4.67508
   22.320   8.50500 1490.00000   4.90282  22.00839   4.69819
   22.322   8.47500 1500.00000   4.92708  22.01494   4.72115
   22.322   8.44500 1510.00000   4.95118  22.09108   4.74729
   22.394   8.43000 1520.00000   4.97767  22.09474   4.76999
   22.391   8.40000 1530.00000   5.00153  22.16872   4.79597
   22.462   8.38500 1540.00000   5.02785  22.16949   4.81842
   22.531   8.37000 1550.00000   5.05409  22.16867   4.84072
   22.524   8.34000 1560.00000   5.07761  22.23925   4.86643
   22.591   8.32500 1570.00000   5.10367  22.23558   4.88847
   22.581   8.29500 1580.00000   5.12694  22.30403   4.91401
   22.646   8.28000 1590.00000   5.15283  22.29753   4.93578
   22.632   8.25000 1600.00000   5.17584  22.36387   4.96115
   22.695   8.23500 1610.00000   5.20155  22.35456   4.98266
   22.679   8.20500 1620.00000   5.22430  22.41881   5.00785
   22.739   8.19000 1630.00000   5.24984  22.48219   5.03298
   22.799   8.17500 1640.00000   5.27530  22.46886   5.05411
   22.779   8.14500 1650.00000   5.29769  22.53017   5.07906
   22.836   8.13000 1660.00000   5.32297  22.51407   5.09992
   22.893   8.11500 1670.00000   5.34818  22.57331   5.12469
   22.868   8.08500 1680.00000   5.37019  22.63171   5.14939
   22.922   8.07000 1690.00000   5.39522  22.61165   5.16986
   22.976   8.05500 1700.00000   5.42017  22.66800   5.19439
   22.947   8.02500 1710.00000   5.44180  22.72350   5.21884
   22.998   8.01000 1720.00000   5.46657  22.69953   5.23891
   23.049   7.99500 1730.00000   5.49126  22.75301   5.26318
   23.016   7.96500 1740.00000   5.51250  22.80565   5.28738
   23.064   7.95000 1750.00000   5.53701  22.77780   5.30704
   23.112   7.93500 1760.00000   5.56144  22.82843   5.33106
   23.158   7.92000 1770.00000   5.58578  22.87823   5.35499
   23.120   7.89000 1780.00000   5.60653  22.92722   5.37886
   23.249   7.89000 1790.00000   5.63424  22.89434   5.39800
   23.208   7.86000 1800.00000   5.65477  22.94134   5.42168
   23.251   7.84500 1810.00000   5.67877  22.98752   5.44528
   23.293   7.83000 1820.00000   5.70269  23.03288   5.46880
   23.334   7.81500 1830.00000   5.72654  22.99505   5.48740
   23.374   7.80000 1840.00000   5.75030  23.03845   5.51074
   23.327   7.77000 1850.00000   5.77019  23.08104   5.53399
   23.365   7.75500 1860.00000   5.79377  23.12283   5.55718
   23.403   7.74000 1870.00000   5.81726  23.16381   5.58028
   23.439   7.72500 1880.00000   5.84067  23.20400   5.60331
   23.475   7.71000 1890.00000   5.86400  23.15900   5.62111
   23.509   7.69500 1900.00000   5.88725  23.19725   5.64394
   23.543   7.68000 1910.00000   5.91042  23.23470   5.66670
   23.576   7.66500 1920.00000   5.93352  23.27137   5.68937
   23.609   7.65000 1930.00000   5.95652  23.30725   5.71197
   23.640   7.63500 1940.00000   5.97945  23.34234   5.73448
   23.581   7.60500 1950.00000   5.99810  23.37665   5.75692
   23.610   7.59000 1960.00000   6.02083  23.41017   5.77928
   23.639   7.57500 1970.00000   6.04348  23.44292   5.80156
   23.758   7.57500 1980.00000   6.07035  23.38752   5.81816
   23.785   7.56000 1990.00000   6.09288  23.41838   5.84023
   23.811   7.54500 2000.00000   6.11532  23.44846   5.86223
