TITLE     = ""
VARIABLES = "V1"
"V2"
"V3"
"V4"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=26.2517264011,Y=6.79851286128
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV
H=6 A=0
MFC=""
T="0                                   10"
ZONE T="ZONE 001"
 I=1000, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE )
 3.849999905E+000 -7.357700348E+001 -7.235500336E+001 1.222000122E+000
 3.900000095E+000 -7.358499908E+001 -7.227600098E+001 1.308998108E+000
 3.950000048E+000 -7.355000305E+001 -7.218099976E+001 1.369003296E+000
 4.000000000E+000 -7.349199677E+001 -7.207599640E+001 1.416000366E+000
 4.050000191E+000 -7.341899872E+001 -7.196299744E+001 1.456001282E+000
 4.099999905E+000 -7.333699799E+001 -7.184600067E+001 1.490997314E+000
 4.150000095E+000 -7.325000000E+001 -7.172499847E+001 1.525001526E+000
 4.199999809E+000 -7.315799713E+001 -7.160099792E+001 1.556999207E+000
 4.250000000E+000 -7.306199646E+001 -7.147399902E+001 1.587997437E+000
 4.300000191E+000 -7.296399689E+001 -7.134500122E+001 1.618995667E+000
 4.349999905E+000 -7.286299896E+001 -7.121299744E+001 1.650001526E+000
 4.400000095E+000 -7.276000214E+001 -7.107900238E+001 1.680999756E+000
 4.449999809E+000 -7.265499878E+001 -7.094300079E+001 1.711997986E+000
 4.500000000E+000 -7.254699707E+001 -7.080500031E+001 1.741996765E+000
 4.550000191E+000 -7.243800354E+001 -7.066400146E+001 1.774002075E+000
 4.599999905E+000 -7.232599640E+001 -7.052200317E+001 1.803993225E+000
 4.650000095E+000 -7.221199799E+001 -7.037699890E+001 1.834999084E+000
 4.699999809E+000 -7.209600067E+001 -7.023100281E+001 1.864997864E+000
 4.750000000E+000 -7.197799683E+001 -7.008200073E+001 1.895996094E+000
 4.800000191E+000 -7.185800171E+001 -6.993099976E+001 1.927001953E+000
 4.849999905E+000 -7.173500061E+001 -6.977799988E+001 1.957000732E+000
 4.900000095E+000 -7.161100006E+001 -6.962300110E+001 1.987998962E+000
 4.949999809E+000 -7.148400116E+001 -6.946600342E+001 2.017997742E+000
 5.000000000E+000 -7.135500336E+001 -6.930699921E+001 2.048004150E+000
 5.050000191E+000 -7.122399902E+001 -6.914600372E+001 2.077995300E+000
 5.099999905E+000 -7.109100342E+001 -6.898400116E+001 2.107002258E+000
 5.150000095E+000 -7.095600128E+001 -6.881900024E+001 2.137001038E+000
 5.199999809E+000 -7.081800079E+001 -6.865200043E+001 2.166000366E+000
 5.250000000E+000 -7.067900085E+001 -6.848400116E+001 2.194999695E+000
 5.300000191E+000 -7.053700256E+001 -6.831400299E+001 2.222999573E+000
 5.349999905E+000 -7.039299774E+001 -6.814199829E+001 2.250999451E+000
 5.400000095E+000 -7.024700165E+001 -6.796900177E+001 2.277999878E+000
 5.449999809E+000 -7.009899902E+001 -6.779299927E+001 2.305999756E+000
 5.500000000E+000 -6.994899750E+001 -6.761599731E+001 2.333000183E+000
 5.550000191E+000 -6.979699707E+001 -6.743800354E+001 2.358993530E+000
 5.599999905E+000 -6.964199829E+001 -6.725800323E+001 2.383995056E+000
 5.650000095E+000 -6.948600006E+001 -6.707700348E+001 2.408996582E+000
 5.699999809E+000 -6.932700348E+001 -6.689399719E+001 2.433006287E+000
 5.750000000E+000 -6.916699982E+001 -6.670999908E+001 2.457000732E+000
 5.800000191E+000 -6.900399780E+001 -6.652400208E+001 2.479995728E+000
 5.849999905E+000 -6.883999634E+001 -6.633699799E+001 2.502998352E+000
 5.900000095E+000 -6.867400360E+001 -6.614900208E+001 2.525001526E+000
 5.949999809E+000 -6.850499725E+001 -6.595999908E+001 2.544998169E+000
 6.000000000E+000 -6.833499908E+001 -6.576999664E+001 2.565002441E+000
 6.050000191E+000 -6.816300201E+001 -6.557800293E+001 2.584999084E+000
 6.099999905E+000 -6.798899841E+001 -6.538600159E+001 2.602996826E+000
 6.150000095E+000 -6.781300354E+001 -6.519300079E+001 2.620002747E+000
 6.199999809E+000 -6.763600159E+001 -6.499900055E+001 2.637001038E+000
 6.250000000E+000 -6.745700073E+001 -6.480400085E+001 2.652999878E+000
 6.300000191E+000 -6.727600098E+001 -6.460900116E+001 2.666999817E+000
 6.349999905E+000 -6.709300232E+001 -6.441200256E+001 2.680999756E+000
 6.400000095E+000 -6.690899658E+001 -6.421600342E+001 2.692993164E+000
 6.449999809E+000 -6.672399902E+001 -6.401799774E+001 2.706001282E+000
 6.500000000E+000 -6.653600311E+001 -6.382099915E+001 2.715003967E+000
 6.550000191E+000 -6.634799957E+001 -6.362300110E+001 2.724998474E+000
 6.599999905E+000 -6.615799713E+001 -6.342399979E+001 2.733997345E+000
 6.650000095E+000 -6.596600342E+001 -6.322600174E+001 2.740001678E+000
 6.699999809E+000 -6.577400208E+001 -6.302700043E+001 2.747001648E+000
 6.750000000E+000 -6.558000183E+001 -6.282799911E+001 2.752002716E+000
 6.800000191E+000 -6.538500214E+001 -6.262900162E+001 2.756000519E+000
 6.849999905E+000 -6.518900299E+001 -6.243000031E+001 2.759002686E+000
 6.900000095E+000 -6.499099731E+001 -6.223099899E+001 2.759998322E+000
 6.949999809E+000 -6.479299927E+001 -6.203200150E+001 2.760997772E+000
 7.000000000E+000 -6.459400177E+001 -6.183300018E+001 2.761001587E+000
 7.050000191E+000 -6.439399719E+001 -6.163499832E+001 2.758998871E+000
 7.099999905E+000 -6.419300079E+001 -6.143700027E+001 2.756000519E+000
 7.150000095E+000 -6.399100113E+001 -6.124000168E+001 2.750999451E+000
 7.199999809E+000 -6.378900146E+001 -6.104199982E+001 2.747001648E+000
 7.250000000E+000 -6.358499908E+001 -6.084600067E+001 2.738998413E+000
 7.300000191E+000 -6.338199997E+001 -6.064899826E+001 2.733001709E+000
 7.349999905E+000 -6.317800140E+001 -6.045399857E+001 2.724002838E+000
 7.400000095E+000 -6.297299957E+001 -6.025899887E+001 2.714000702E+000
 7.449999809E+000 -6.276800156E+001 -6.006499863E+001 2.703002930E+000
 7.500000000E+000 -6.256299973E+001 -5.987099838E+001 2.692001343E+000
 7.550000191E+000 -6.235699844E+001 -5.967800140E+001 2.678997040E+000
 7.599999905E+000 -6.215100098E+001 -5.948600006E+001 2.665000916E+000
 7.650000095E+000 -6.194499969E+001 -5.929499817E+001 2.650001526E+000
 7.699999809E+000 -6.173899841E+001 -5.910400009E+001 2.634998322E+000
 7.750000000E+000 -6.153300095E+001 -5.891500092E+001 2.618000031E+000
 7.800000191E+000 -6.132699966E+001 -5.872600174E+001 2.600997925E+000
 7.849999905E+000 -6.112099838E+001 -5.853799820E+001 2.583000183E+000
 7.900000095E+000 -6.091500092E+001 -5.835100174E+001 2.563999176E+000
 7.949999809E+000 -6.070899963E+001 -5.816600037E+001 2.542999268E+000
 8.000000000E+000 -6.050400162E+001 -5.798099899E+001 2.523002625E+000
 8.050000191E+000 -6.029800034E+001 -5.779600143E+001 2.501998901E+000
 8.100000381E+000 -6.009299850E+001 -5.761299896E+001 2.479999542E+000
 8.149999619E+000 -5.988899994E+001 -5.743099976E+001 2.458000183E+000
 8.199999809E+000 -5.968399811E+001 -5.725000000E+001 2.433998108E+000
 8.250000000E+000 -5.947999954E+001 -5.706999969E+001 2.409999847E+000
 8.300000191E+000 -5.927700043E+001 -5.688999939E+001 2.387001038E+000
 8.350000381E+000 -5.907400131E+001 -5.671099854E+001 2.363002777E+000
 8.399999619E+000 -5.887099838E+001 -5.653400040E+001 2.336997986E+000
 8.449999809E+000 -5.866899872E+001 -5.635699844E+001 2.312000275E+000
 8.500000000E+000 -5.846699905E+001 -5.618099976E+001 2.285999298E+000
 8.550000191E+000 -5.826499939E+001 -5.600500107E+001 2.259998322E+000
 8.600000381E+000 -5.806399918E+001 -5.583100128E+001 2.232997894E+000
 8.649999619E+000 -5.786399841E+001 -5.565700150E+001 2.206996918E+000
 8.699999809E+000 -5.766400146E+001 -5.548300171E+001 2.180999756E+000
 8.750000000E+000 -5.746400070E+001 -5.531000137E+001 2.153999329E+000
 8.800000191E+000 -5.726499939E+001 -5.513800049E+001 2.126998901E+000
 8.850000381E+000 -5.706600189E+001 -5.496599960E+001 2.100002289E+000
 8.899999619E+000 -5.686700058E+001 -5.479499817E+001 2.072002411E+000
 8.949999809E+000 -5.666899872E+001 -5.462300110E+001 2.045997620E+000
 9.000000000E+000 -5.647100067E+001 -5.445199966E+001 2.019001007E+000
 9.050000191E+000 -5.627299881E+001 -5.428099823E+001 1.992000580E+000
 9.100000381E+000 -5.607400131E+001 -5.411000061E+001 1.964000702E+000
 9.149999619E+000 -5.587599945E+001 -5.393899918E+001 1.937000275E+000
 9.199999809E+000 -5.567800140E+001 -5.376800156E+001 1.909999847E+000
 9.250000000E+000 -5.547999954E+001 -5.359600067E+001 1.883998871E+000
 9.300000191E+000 -5.528099823E+001 -5.342399979E+001 1.856998444E+000
