TITLE     = ""
VARIABLES = "V1"
"V2"
"V3"
"V4"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=13.8952323241,Y=5.79320545209
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV
H=5 A=0
MFC=""
T="0                                                              10"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=45.0271784401,Y=61.6514555726
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV-BOLD
H=3 A=0
MFC=""
 3.599999905E+000 -5.452500153E+001 -5.918399811E+001 -4.658996582E+000
 3.650000095E+000 -5.642499924E+001 -5.959600067E+001 -3.171001434E+000
 3.700000048E+000 -5.795399857E+001 -5.986100006E+001 -1.907001495E+000
 3.750000000E+000 -5.916600037E+001 -6.000199890E+001 -8.359985352E-001
 3.799999952E+000 -6.011100006E+001 -6.004100037E+001 6.999969482E-002
 3.849999905E+000 -6.083399963E+001 -5.999399948E+001 8.400001526E-001
 3.900000095E+000 -6.136899948E+001 -5.987699890E+001 1.492000580E+000
 3.950000048E+000 -6.174900055E+001 -5.970100021E+001 2.048000336E+000
 4.000000000E+000 -6.199900055E+001 -5.947800064E+001 2.520999908E+000
 4.050000191E+000 -6.213899994E+001 -5.921400070E+001 2.924999237E+000
 4.099999905E+000 -6.218799973E+001 -5.891899872E+001 3.269001007E+000
 4.150000095E+000 -6.215900040E+001 -5.859700012E+001 3.562000275E+000
 4.199999809E+000 -6.206499863E+001 -5.825600052E+001 3.808998108E+000
 4.250000000E+000 -6.191699982E+001 -5.789799881E+001 4.019001007E+000
 4.300000191E+000 -6.172299957E+001 -5.752899933E+001 4.194000244E+000
 4.349999905E+000 -6.149100113E+001 -5.715100098E+001 4.340000153E+000
 4.400000095E+000 -6.122600174E+001 -5.676699829E+001 4.459003448E+000
 4.449999809E+000 -6.093500137E+001 -5.638000107E+001 4.555000305E+000
 4.500000000E+000 -6.062200165E+001 -5.599200058E+001 4.630001068E+000
 4.550000191E+000 -6.029100037E+001 -5.560400009E+001 4.687000275E+000
 4.599999905E+000 -5.994499969E+001 -5.521900177E+001 4.725997925E+000
 4.650000095E+000 -5.958800125E+001 -5.483599854E+001 4.752002716E+000
 4.699999809E+000 -5.922200012E+001 -5.445800018E+001 4.763999939E+000
 4.750000000E+000 -5.884799957E+001 -5.408499908E+001 4.763000488E+000
 4.800000191E+000 -5.847100067E+001 -5.371799850E+001 4.753002167E+000
 4.849999905E+000 -5.808900070E+001 -5.335699844E+001 4.732002258E+000
 4.900000095E+000 -5.770600128E+001 -5.300299835E+001 4.703002930E+000
 4.949999809E+000 -5.732300186E+001 -5.265599823E+001 4.667003632E+000
 5.000000000E+000 -5.693999863E+001 -5.231499863E+001 4.625000000E+000
 5.050000191E+000 -5.655799866E+001 -5.198199844E+001 4.576000214E+000
 5.099999905E+000 -5.617800140E+001 -5.165599823E+001 4.522003174E+000
 5.150000095E+000 -5.580099869E+001 -5.133700180E+001 4.463996887E+000
 5.199999809E+000 -5.542800140E+001 -5.102500153E+001 4.402999878E+000
 5.250000000E+000 -5.505799866E+001 -5.072000122E+001 4.337997437E+000
 5.300000191E+000 -5.469300079E+001 -5.042100143E+001 4.271999359E+000
 5.349999905E+000 -5.433200073E+001 -5.012900162E+001 4.202999115E+000
 5.400000095E+000 -5.397499847E+001 -4.984199905E+001 4.132999420E+000
 5.449999809E+000 -5.362300110E+001 -4.956000137E+001 4.062999725E+000
 5.500000000E+000 -5.327600098E+001 -4.928400040E+001 3.992000580E+000
 5.550000191E+000 -5.293399811E+001 -4.901300049E+001 3.920997620E+000
 5.599999905E+000 -5.259700012E+001 -4.874599838E+001 3.851001740E+000
 5.650000095E+000 -5.226399994E+001 -4.848199844E+001 3.782001495E+000
 5.699999809E+000 -5.193600082E+001 -4.822200012E+001 3.714000702E+000
 5.750000000E+000 -5.161199951E+001 -4.796500015E+001 3.646999359E+000
 5.800000191E+000 -5.129199982E+001 -4.770999908E+001 3.582000732E+000
 5.849999905E+000 -5.097700119E+001 -4.745700073E+001 3.520000458E+000
 5.900000095E+000 -5.066500092E+001 -4.720500183E+001 3.459999084E+000
 5.949999809E+000 -5.035599899E+001 -4.695399857E+001 3.402000427E+000
 6.000000000E+000 -5.004999924E+001 -4.670299911E+001 3.347000122E+000
 6.050000191E+000 -4.974599838E+001 -4.645199966E+001 3.293998718E+000
 6.099999905E+000 -4.944499969E+001 -4.619900131E+001 3.245998383E+000
 6.150000095E+000 -4.914500046E+001 -4.594400024E+001 3.201000214E+000
 6.199999809E+000 -4.884600067E+001 -4.568700027E+001 3.159000397E+000
 6.250000000E+000 -4.854700089E+001 -4.542599869E+001 3.121002197E+000
 6.300000191E+000 -4.824700165E+001 -4.516099930E+001 3.086002350E+000
 6.349999905E+000 -4.794699860E+001 -4.489099884E+001 3.055999756E+000
 6.400000095E+000 -4.764500046E+001 -4.461399841E+001 3.031002045E+000
 6.449999809E+000 -4.734000015E+001 -4.432899857E+001 3.011001587E+000
 6.500000000E+000 -4.703099823E+001 -4.403599930E+001 2.994998932E+000
 6.550000191E+000 -4.671699905E+001 -4.373199844E+001 2.985000610E+000
 6.599999905E+000 -4.639799881E+001 -4.341600037E+001 2.981998444E+000
 6.650000095E+000 -4.607099915E+001 -4.308599854E+001 2.985000610E+000
 6.699999809E+000 -4.573600006E+001 -4.273899841E+001 2.997001648E+000
 6.750000000E+000 -4.538999939E+001 -4.237400055E+001 3.015998840E+000
 6.800000191E+000 -4.503099823E+001 -4.198600006E+001 3.044998169E+000
 6.849999905E+000 -4.465800095E+001 -4.157199860E+001 3.086002350E+000
 6.900000095E+000 -4.426699829E+001 -4.112799835E+001 3.138999939E+000
 6.949999809E+000 -4.385499954E+001 -4.064899826E+001 3.206001282E+000
 7.000000000E+000 -4.341899872E+001 -4.012699890E+001 3.291999817E+000
 7.050000191E+000 -4.295500183E+001 -3.955599976E+001 3.399002075E+000
 7.099999905E+000 -4.245600128E+001 -3.892599869E+001 3.530002594E+000
 7.150000095E+000 -4.191500092E+001 -3.822499847E+001 3.690002441E+000
 7.199999809E+000 -4.132600021E+001 -3.743899918E+001 3.887001038E+000
 7.250000000E+000 -4.067599869E+001 -3.654999924E+001 4.125999451E+000
 7.300000191E+000 -3.995399857E+001 -3.553599930E+001 4.417999268E+000
 7.349999905E+000 -3.914199829E+001 -3.437300110E+001 4.768997192E+000
 7.400000095E+000 -3.821900177E+001 -3.302899933E+001 5.190002441E+000
 7.449999809E+000 -3.715700150E+001 -3.147599983E+001 5.681001663E+000
 7.500000000E+000 -3.591999817E+001 -2.968600082E+001 6.233997345E+000
 7.550000191E+000 -3.446099854E+001 -2.765600014E+001 6.804998398E+000
 7.599999905E+000 -3.272399902E+001 -2.542000008E+001 7.303998947E+000
 7.650000095E+000 -3.064299965E+001 -2.308699989E+001 7.555999756E+000
 7.699999809E+000 -2.815600014E+001 -2.084799957E+001 7.308000565E+000
 7.750000000E+000 -2.524099922E+001 -1.895000076E+001 6.290998459E+000
 7.800000191E+000 -2.197500038E+001 -1.762700081E+001 4.347999573E+000
 7.849999905E+000 -1.860300064E+001 -1.703599930E+001 1.567001343E+000
 7.900000095E+000 -1.551000023E+001 -1.723600006E+001 -1.725999832E+000
 7.949999809E+000 -1.309399986E+001 -1.819199944E+001 -5.097999573E+000
 8.000000000E+000 -1.163399982E+001 -1.980800056E+001 -8.174000740E+000
 8.050000191E+000 -1.124800014E+001 -2.194599915E+001 -1.069799900E+001
 8.100000381E+000 -1.191300011E+001 -2.445800018E+001 -1.254500008E+001
 8.149999619E+000 -1.351900005E+001 -2.720599937E+001 -1.368699932E+001
 8.199999809E+000 -1.589999962E+001 -3.007299995E+001 -1.417300034E+001
 8.250000000E+000 -1.886300087E+001 -3.297299957E+001 -1.410999870E+001
 8.300000191E+000 -2.220800018E+001 -3.584500122E+001 -1.363700104E+001
 8.350000381E+000 -2.574900055E+001 -3.863800049E+001 -1.288899994E+001
 8.399999619E+000 -2.933399963E+001 -4.130500031E+001 -1.197100067E+001
 8.449999809E+000 -3.285900116E+001 -4.380199814E+001 -1.094299698E+001
 8.500000000E+000 -3.625500107E+001 -4.608800125E+001 -9.833000183E+000
 8.550000191E+000 -3.947399902E+001 -4.813399887E+001 -8.659999847E+000
 8.600000381E+000 -4.247800064E+001 -4.992300034E+001 -7.444999695E+000
 8.649999619E+000 -4.522999954E+001 -5.145500183E+001 -6.225002289E+000
 8.699999809E+000 -4.770000076E+001 -5.274100113E+001 -5.041000366E+000
 8.750000000E+000 -4.987300110E+001 -5.380300140E+001 -3.930000305E+000
 8.800000191E+000 -5.174900055E+001 -5.466299820E+001 -2.913997650E+000
 8.850000381E+000 -5.333900070E+001 -5.534500122E+001 -2.006000519E+000
 8.899999619E+000 -5.466799927E+001 -5.587300110E+001 -1.205001831E+000
 8.949999809E+000 -5.576200104E+001 -5.626800156E+001 -5.060005188E-001
 9.000000000E+000 -5.665100098E+001 -5.654899979E+001 1.020011902E-001
 9.050000191E+000 -5.736100006E+001 -5.673099899E+001 6.300010681E-001
 9.100000381E+000 -5.791600037E+001 -5.683000183E+001 1.085998535E+000
 9.149999619E+000 -5.833900070E+001 -5.685699844E+001 1.482002258E+000
 9.199999809E+000 -5.864799881E+001 -5.682400131E+001 1.823997498E+000
 9.250000000E+000 -5.885900116E+001 -5.673899841E+001 2.120002747E+000
 9.300000191E+000 -5.898600006E+001 -5.661100006E+001 2.375000000E+000
 9.350000381E+000 -5.904199982E+001 -5.644599915E+001 2.596000671E+000
 9.399999619E+000 -5.903499985E+001 -5.625099945E+001 2.784000397E+000
 9.449999809E+000 -5.897600174E+001 -5.603099823E+001 2.945003510E+000
 9.500000000E+000 -5.887099838E+001 -5.579000092E+001 3.080997467E+000
 9.550000191E+000 -5.872800064E+001 -5.553200150E+001 3.195999146E+000
 9.600000381E+000 -5.855199814E+001 -5.526100159E+001 3.290996552E+000
 9.649999619E+000 -5.834799957E+001 -5.497900009E+001 3.368999481E+000
 9.699999809E+000 -5.811999893E+001 -5.468899918E+001 3.430999756E+000
 9.750000000E+000 -5.787300110E+001 -5.439400101E+001 3.479000092E+000
 9.800000191E+000 -5.760900116E+001 -5.409500122E+001 3.513999939E+000
 9.850000381E+000 -5.733100128E+001 -5.379299927E+001 3.538002014E+000
 9.899999619E+000 -5.704299927E+001 -5.349000168E+001 3.552997589E+000
 9.949999809E+000 -5.674499893E+001 -5.318799973E+001 3.556999207E+000
 1.000000000E+001 -5.643999863E+001 -5.288700104E+001 3.552997589E+000
 1.005000019E+001 -5.612900162E+001 -5.258800125E+001 3.541000366E+000
 1.010000038E+001 -5.581499863E+001 -5.229199982E+001 3.522998810E+000
 1.014999962E+001 -5.549700165E+001 -5.199900055E+001 3.498001099E+000
 1.019999981E+001 -5.517800140E+001 -5.170899963E+001 3.469001770E+000
 1.025000000E+001 -5.485900116E+001 -5.142399979E+001 3.435001373E+000
 1.030000019E+001 -5.453900146E+001 -5.114199829E+001 3.397003174E+000
 1.035000038E+001 -5.422000122E+001 -5.086500168E+001 3.354999542E+000
 1.039999962E+001 -5.390200043E+001 -5.059199905E+001 3.310001373E+000
 1.044999981E+001 -5.358599854E+001 -5.032300186E+001 3.262996674E+000
 1.050000000E+001 -5.327199936E+001 -5.005899811E+001 3.213001251E+000
 1.055000019E+001 -5.295999908E+001 -4.979899979E+001 3.160999298E+000
