  28.000  1.08E-0009  -31.0898  -38.1920
  28.250  8.50E-0010  -31.0707  -38.0949
  28.500  7.05E-0010  -31.0563  -38.0033
  28.750  6.20E-0010  -31.0466  -37.9171
  29.000  5.66E-0010  -31.0411  -37.8362
  29.250  5.56E-0010  -31.0398  -37.7605
  29.500  5.61E-0010  -31.0422  -37.6899
  29.750  5.70E-0010  -31.0482  -37.6242
  30.000  5.79E-0010  -31.0576  -37.5633
  30.250  5.90E-0010  -31.0701  -37.5071
  30.500  6.01E-0010  -31.0855  -37.4553
  30.750  6.13E-0010  -31.1035  -37.4079
  31.000  6.26E-0010  -31.1240  -37.3646
  31.250  6.39E-0010  -31.1468  -37.3255
  31.500  6.51E-0010  -31.1715  -37.2901
  31.750  6.61E-0010  -31.1981  -37.2586
  32.000  6.71E-0010  -31.2263  -37.2306
  32.250  6.79E-0010  -31.2560  -37.2060
  32.500  6.87E-0010  -31.2870  -37.1847
  32.750  6.94E-0010  -31.3191  -37.1666
  33.000  7.01E-0010  -31.3522  -37.1513
  33.250  7.07E-0010  -31.3861  -37.1390
  33.500  7.11E-0010  -31.4207  -37.1292
  33.750  7.11E-0010  -31.4558  -37.1221
  34.000  7.11E-0010  -31.4913  -37.1173
  34.250  7.10E-0010  -31.5270  -37.1147
  34.500  7.06E-0010  -31.5630  -37.1143
  34.750  6.99E-0010  -31.5990  -37.1158
  35.000  6.91E-0010  -31.6350  -37.1191
  35.250  6.83E-0010  -31.6709  -37.1242
  35.500  6.73E-0010  -31.7065  -37.1309
  35.750  6.63E-0010  -31.7419  -37.1391
  36.000  6.51E-0010  -31.7769  -37.1486
  36.250  6.39E-0010  -31.8115  -37.1593
  36.500  6.25E-0010  -31.8455  -37.1712
  36.750  6.10E-0010  -31.8791  -37.1842
  37.000  5.95E-0010  -31.9120  -37.1980
  37.250  5.79E-0010  -31.9443  -37.2127
  37.500  5.63E-0010  -31.9758  -37.2282
  37.750  5.48E-0010  -32.0067  -37.2443
  38.000  5.35E-0010  -32.0368  -37.2610
  38.250  5.22E-0010  -32.0662  -37.2782
  38.500  5.11E-0010  -32.0947  -37.2958
  38.750  5.01E-0010  -32.1224  -37.3137
  39.000  4.91E-0010  -32.1492  -37.3320
  39.250  4.83E-0010  -32.1752  -37.3504
  39.500  4.79E-0010  -32.2004  -37.3690
  39.750  4.79E-0010  -32.2246  -37.3877
  40.000  4.79E-0010  -32.2480  -37.4065
  40.250  4.80E-0010  -32.2705  -37.4252
  40.500  4.84E-0010  -32.2922  -37.4439
  40.750  4.90E-0010  -32.3129  -37.4625
  41.000  4.99E-0010  -32.3328  -37.4810
  41.250  5.10E-0010  -32.3518  -37.4992
  41.500  5.23E-0010  -32.3700  -37.5173
  41.750  5.37E-0010  -32.3873  -37.5352
  42.000  5.52E-0010  -32.4038  -37.5527
  42.250  5.68E-0010  -32.4195  -37.5700
