ZONE T="ZONE1"
I= 41 ,J= 21 ,K=1,F=POINT
  8.00   0.0000  45.34   0.00 -58.00 -57.40  -0.0197   0.1231  -0.1231 -61.54 -57.60   0.00   0.0000   0.0000 -54.56  25.00 164.57   0.00
  8.25   0.0000  43.74   0.00 -57.39 -56.81  -0.0197   0.1269  -0.1269 -61.23 -56.99   0.00   0.0000   0.0000 -53.91  25.00 169.71   0.00
  8.50   0.0000  41.12   0.00 -56.81 -56.25  -0.0197   0.1308  -0.1308 -60.94 -56.41   0.00   0.0000   0.0000 -53.30  25.00 174.86   0.00
  8.75   0.0000  39.04   0.00 -56.23 -55.69  -0.0197   0.1346  -0.1346 -60.65 -55.84   0.00   0.0000   0.0000 -52.71  25.00 180.00   0.00
  9.00   0.0000  37.12   0.00 -55.60 -55.13  -0.0197   0.1385  -0.1385 -60.36 -55.23   0.00   0.0000   0.0000 -52.11  25.00 185.14   0.00
  9.25   0.0000  35.26   0.00 -54.93 -54.55  -0.0197   0.1423  -0.1423 -60.08 -54.63   0.00   0.0000   0.0000 -51.51  25.00 190.29   0.00
  9.50   0.0000  33.41   0.00 -54.23 -53.96  -0.0197   0.1462  -0.1462 -59.79 -53.99   0.00   0.0000   0.0000 -50.91  25.00 195.43   0.00
  9.75   0.0000  31.54   0.00 -53.50 -53.36  -0.0197   0.1500  -0.1500 -59.51 -53.37   0.00   0.0000   0.0000 -50.32  25.00 200.57   0.00
 10.00   0.0000  29.65   0.00 -52.71 -52.74  -0.0197   0.1538  -0.1538 -59.22 -52.70   0.00   0.0000   0.0000 -49.71  25.00 205.71   0.00
  0.00   0.0125   0.00   0.00   0.00   0.00   0.0000   0.0000   0.0125   0.00   0.00   0.00   0.0000   0.0000   0.00  25.00   0.00   0.26
  0.25   0.0125   0.00   0.00   0.00   0.00   0.0000   0.0038   0.0087   0.00   0.00   0.00   0.0000   0.0000   0.00  25.00   5.14   0.26
  0.50   0.0125   0.00   0.00   0.00   0.00   0.0000   0.0077   0.0048   0.00   0.00   0.00   0.0000   0.0000   0.00  25.00  10.29   0.26
  0.75   0.0125   2.00   0.00   0.00   0.00   0.0000   0.0115   0.0010   0.00   0.00   0.00   0.0000   0.0000   0.00  25.00  15.43   0.26
  1.00   0.0125   2.00   0.00   0.00   0.00   0.0000   0.0154  -0.0029   0.00   0.00   0.00   0.0000   0.0000   0.00  25.00  20.57   0.26
  1.25   0.0125   2.51   0.00   0.00   0.00   0.0000   0.0192  -0.0067   0.00   0.00   0.00   0.0000   0.0000   0.00  25.00  25.71   0.26
  1.50   0.0125   5.11   0.00 -55.21 -57.56   0.0000   0.0231  -0.0106 -65.38 -55.25   0.00   0.0000   0.0000 -55.01  25.00  30.86   0.26
