   0.050  0.00E+0000  3.666E-0001 -6.000E+0001
   0.100  0.00E+0000  3.666E-0001 -6.000E+0001
   0.150  0.00E+0000  3.666E-0001 -6.000E+0001
   0.200  5.76E-0004  3.666E-0001 -6.000E+0001
   0.250  3.46E-0003  3.666E-0001 -6.000E+0001
   0.300  6.34E-0003  3.666E-0001 -6.000E+0001
   0.350  9.22E-0003  3.666E-0001 -6.000E+0001
   0.400  1.21E-0002  3.666E-0001 -6.000E+0001
   0.450  1.52E-0002  3.666E-0001 -6.000E+0001
   0.500  1.89E-0002  3.666E-0001 -6.000E+0001
   0.550  2.26E-0002  3.666E-0001 -6.000E+0001
   0.600  2.62E-0002  3.666E-0001 -6.000E+0001
   0.650  2.93E-0002  3.666E-0001 -6.000E+0001
   0.700  3.20E-0002  3.666E-0001 -6.000E+0001
   0.750  3.47E-0002  3.666E-0001 -6.000E+0001
   0.800  3.75E-0002  3.666E-0001 -6.000E+0001
   0.850  4.08E-0002  3.666E-0001 -6.000E+0001
   0.900  4.41E-0002  3.666E-0001 -6.000E+0001
   0.950  4.74E-0002  3.666E-0001 -6.000E+0001
   1.000  5.07E-0002  3.666E-0001 -6.000E+0001
   1.050  5.40E-0002  3.846E-0001 -4.000E+0001
   1.100  5.73E-0002  4.030E-0001 -4.000E+0001
   1.150  6.06E-0002  4.218E-0001 -4.000E+0001
   1.200  6.39E-0002  4.410E-0001 -4.000E+0001
   1.250  6.71E-0002  4.606E-0001 -4.000E+0001
   1.300  7.08E-0002  4.806E-0001 -4.000E+0001
   1.350  7.50E-0002  5.010E-0001 -4.000E+0001
   1.400  7.92E-0002  5.217E-0001 -4.000E+0001
   1.450  8.34E-0002  5.428E-0001 -4.000E+0001
   1.500  8.76E-0002  5.642E-0001 -4.000E+0001
   1.550  9.13E-0002  5.860E-0001 -4.000E+0001
   1.600  9.50E-0002  6.082E-0001 -4.000E+0001
   1.650  9.87E-0002  6.306E-0001 -4.000E+0001
   1.700  1.02E-0001  6.534E-0001 -4.000E+0001
   1.750  1.06E-0001  6.765E-0001 -4.000E+0001
   1.800  1.09E-0001  6.998E-0001 -4.000E+0001
   1.850  1.15E-0001  7.235E-0001 -4.000E+0001
   1.900  1.21E-0001  7.475E-0001 -4.000E+0001
   1.950  1.28E-0001  7.717E-0001 -4.000E+0001
   2.000  1.29E-0001  7.962E-0001 -4.000E+0001
   2.050  1.29E-0001  8.210E-0001 -4.000E+0001
   2.100  1.32E-0001  8.460E-0001 -4.000E+0001
   2.150  1.35E-0001  8.712E-0001 -4.000E+0001
   2.200  1.38E-0001  8.967E-0001 -4.000E+0001
   2.250  1.42E-0001  9.224E-0001 -4.000E+0001
   2.300  1.47E-0001  9.483E-0001 -4.000E+0001
   2.350  1.51E-0001  9.744E-0001 -4.000E+0001
   2.400  1.55E-0001  1.001E+0000 -4.000E+0001
   2.450  1.59E-0001  1.027E+0000 -4.000E+0001
   2.500  1.63E-0001  1.054E+0000 -4.000E+0001
   2.550  1.67E-0001  1.081E+0000 -4.000E+0001
   2.600  1.71E-0001  1.108E+0000 -4.000E+0001
   2.650  1.75E-0001  1.135E+0000 -4.000E+0001
   2.700  1.78E-0001  1.162E+0000 -4.000E+0001
   2.750  1.80E-0001  1.190E+0000 -4.000E+0001
   2.800  1.83E-0001  1.217E+0000 -4.000E+0001
   2.850  1.86E-0001  1.245E+0000 -4.000E+0001
   2.900  1.88E-0001  1.272E+0000 -4.000E+0001
   2.950  1.91E-0001  1.300E+0000 -4.000E+0001
   3.000  1.94E-0001  1.328E+0000 -4.000E+0001
   3.050  1.96E-0001  1.356E+0000 -4.000E+0001
   3.100  1.98E-0001  1.384E+0000 -4.000E+0001
   3.150  2.00E-0001  1.413E+0000 -4.000E+0001
   3.200  2.03E-0001  1.441E+0000 -4.000E+0001
   3.250  2.03E-0001  1.469E+0000 -4.000E+0001
   3.300  2.04E-0001  1.498E+0000 -4.000E+0001
   3.350  2.04E-0001  1.526E+0000 -4.000E+0001
   3.400  2.05E-0001  1.554E+0000 -4.000E+0001
   3.450  2.06E-0001  1.583E+0000 -4.000E+0001
   3.500  2.06E-0001  1.611E+0000 -4.000E+0001
   3.550  2.07E-0001  1.640E+0000 -4.000E+0001
   3.600  2.07E-0001  1.668E+0000 -4.000E+0001
   3.650  2.07E-0001  1.697E+0000 -4.000E+0001
   3.700  2.07E-0001  1.725E+0000 -4.000E+0001
   3.750  2.07E-0001  1.754E+0000 -4.000E+0001
   3.800  2.07E-0001  1.782E+0000 -4.000E+0001
   3.850  2.07E-0001  1.811E+0000 -4.000E+0001
   3.900  2.07E-0001  1.839E+0000 -4.000E+0001
   3.950  2.07E-0001  1.867E+0000 -4.000E+0001
   4.000  2.07E-0001  1.896E+0000 -4.000E+0001
   4.050  2.07E-0001  1.924E+0000 -4.000E+0001
   4.100  2.07E-0001  1.952E+0000 -4.000E+0001
   4.150  2.07E-0001  1.981E+0000 -4.000E+0001
   4.200  2.07E-0001  2.009E+0000 -4.000E+0001
   4.250  2.07E-0001  2.037E+0000 -4.000E+0001
   4.300  2.07E-0001  2.065E+0000 -4.000E+0001
   4.350  2.07E-0001  2.093E+0000 -4.000E+0001
   4.400  2.07E-0001  2.121E+0000 -4.000E+0001
   4.450  2.07E-0001  2.148E+0000 -4.000E+0001
   4.500  2.07E-0001  2.176E+0000 -4.000E+0001
   4.550  2.07E-0001  2.204E+0000 -4.000E+0001
   4.600  2.07E-0001  2.231E+0000 -4.000E+0001
   4.650  2.07E-0001  2.258E+0000 -4.000E+0001
   4.700  2.04E-0001  2.286E+0000 -4.000E+0001
   4.750  1.94E-0001  2.313E+0000 -4.000E+0001
   4.800  1.82E-0001  2.340E+0000 -4.000E+0001
   4.850  1.72E-0001  2.367E+0000 -4.000E+0001
   4.900  1.63E-0001  2.394E+0000 -4.000E+0001
   4.950  1.53E-0001  2.421E+0000 -4.000E+0001
   5.000  1.44E-0001  2.447E+0000 -4.000E+0001
   5.050  1.34E-0001  2.474E+0000 -4.000E+0001
   5.100  1.24E-0001  2.500E+0000 -4.000E+0001
   5.150  1.15E-0001  2.526E+0000 -4.000E+0001
   5.200  1.07E-0001  2.553E+0000 -4.000E+0001
   5.250  1.01E-0001  2.578E+0000 -4.000E+0001
   5.300  9.43E-0002  2.604E+0000 -4.000E+0001
