 -57.3000   19.4042    0.4083  -51.6000   17.4638    0.5250
 -57.2000   20.0248    0.4132  -51.5000   18.0223    0.5313
 -57.1000   20.6372    0.4181  -51.4000   18.5735    0.5375
 -57.0000   21.2853    0.4229  -51.3000   19.1567    0.5438
 -56.9000   21.9441    0.4278  -51.2000   19.7497    0.5500
 -56.8000   22.6128    0.4326  -51.1000   20.3515    0.5563
 -56.7000   23.3014    0.4375  -51.0000   20.9713    0.5625
 -56.6000   23.9856    0.4424  -50.9000   21.5870    0.5688
 -56.5000   24.6775    0.4472  -50.8000   22.2097    0.5750
 -56.4000   25.3702    0.4521  -50.7000   22.8332    0.5813
 -56.3000   26.0764    0.4569  -50.6000   23.4688    0.5875
 -56.2000   26.7918    0.4618  -50.5000   24.1127    0.5938
 -56.1000   27.5074    0.4667  -50.4000   24.7566    0.6000
 -56.0000   28.2273    0.4715  -50.3000   25.4046    0.6063
 -55.9000   28.9493    0.4764  -50.2000   26.0543    0.6125
 -55.8000   29.6770    0.4813  -50.1000   26.7093    0.6188
 -55.7000   30.4088    0.4861  -50.0000   27.3679    0.6250
 -55.6000   31.1418    0.4910  -49.9000   28.0277    0.6313
 -55.5000   31.8773    0.4958  -49.8000   28.6895    0.6375
 -55.4000   32.6147    0.5007  -49.7000   29.3533    0.6438
 -55.3000   33.3540    0.5056  -49.6000   30.0186    0.6500
 -55.2000   34.0949    0.5104  -49.5000   30.6854    0.6563
 -55.1000   34.8372    0.5153  -49.4000   31.3534    0.6625
 -55.0000   35.5806    0.5201  -49.3000   32.0225    0.6688
 -54.9000   36.3250    0.5250  -49.2000   32.6925    0.6750
 -54.8000   37.0702    0.5299  -49.1000   33.3632    0.6813
 -54.7000   37.8161    0.5347  -49.0000   34.0345    0.6875
 -54.6000   38.5627    0.5396  -48.9000   34.7064    0.6938
 -54.5000   39.3096    0.5444  -48.8000   35.3787    0.7000
 -54.4000   40.0569    0.5493  -48.7000   36.0512    0.7063
 -54.3000   40.8044    0.5542  -48.6000   36.7240    0.7125
 -54.2000   41.5521    0.5590  -48.5000   37.3969    0.7188
 -54.1000   42.2997    0.5639  -48.4000   38.0698    0.7250
 -54.0000   43.0474    0.5688  -48.3000   38.7427    0.7313
 -53.9000   43.7949    0.5736  -48.2000   39.4154    0.7375
 -53.8000   44.5423    0.5785  -48.1000   40.0881    0.7438
 -53.7000   45.2894    0.5833  -48.0000   40.7605    0.7500
 -53.6000   46.0363    0.5882  -47.9000   41.4327    0.7563
 -53.5000   46.7828    0.5931  -47.8000   42.1045    0.7625
 -53.4000   47.5290    0.5979  -47.7000   42.7761    0.7688
