 10.5000 -65.85112     0.00  -0.38871     0.00 
 10.6000 -65.74019     0.00  -0.29673     0.00 
 10.7000 -65.86943     0.00  -0.28301     0.00 
 10.8000 -66.08196     0.00   0.16747     0.00 
 10.9000 -65.94010     0.00  -0.23525     0.00 
 11.0000 -65.85361     0.00  -0.42533     0.00 
 11.1000 -65.79681     0.00  -0.83947     0.00 
 11.2000 -66.14121     0.00  -0.78345     0.00 
 11.3000 -66.20948     0.00  -0.84045     0.00 
 11.4000 -66.45541     0.00   0.24706     0.00 
 11.5000 -66.29530     0.00  -0.08119     0.00 
 11.6000 -66.04705     0.00  -0.39443     0.00 
 11.7000 -65.70027     0.00  -0.32093     0.00 
 11.8000 -65.58073     0.00  -0.05865     0.00 
 11.9000 -65.79764     0.00   0.42995     0.00 
 12.0000 -66.25364     0.00  -0.47242     0.00 
 12.1000 -66.21150     0.00  -0.15801     0.00 
 12.2000 -66.42322     0.00  -0.23707     0.00 
 12.3000 -66.14593     0.00  -0.34661     0.00 
 12.4000 -66.55882     0.00  -1.40440     0.00 
 12.5000 -66.74817     0.00  -1.00315     0.00 
 12.6000 -66.68768     0.00  -0.54292     0.00 
 12.7000 -66.96819     0.00   0.31190     0.00 
 12.8000 -66.99142     0.00   0.25412     0.00 
 12.9000 -67.14352     0.00  -0.05457     0.00 
 13.0000 -67.27063     0.00  -0.24411     0.00 
 13.1000 -66.81701     0.00  -0.44164     0.00 
 13.2000 -67.02937     0.00  -0.06111     0.00 
 13.3000 -67.15575     0.00  -0.00552     0.00 
 13.4000 -67.57988     0.00   0.02787     0.00 
 13.5000 -67.32995     0.00  -0.02874     0.00 
 13.6000 -67.23001     0.00  -0.97064     0.00 
 13.7000 -67.22184     0.00  -0.52151     0.00 
 13.8000 -66.78549     0.00  -0.15330     0.00 
 13.9000 -67.04810     0.00   0.36766     0.00 
 14.0000 -67.23337     0.00  -0.48147     0.00 
 14.1000 -67.48410     0.00  -0.39080     0.00 
 14.2000 -67.38233     0.00  -0.93208     0.00 
 14.3000 -67.46074     0.00  -0.63790     0.00 
 14.4000 -67.52105     0.00   0.38316     0.00 
 14.5000 -67.13291     0.00   0.60155     0.00 
 14.6000 -66.98950     0.00   0.70615     0.00 
 14.7000 -66.65915     0.00  -0.21846     0.00 
 14.8000 -66.62668     0.00  -0.80334     0.00 
 14.9000 -66.17855     0.00   0.30307     0.00 
 15.0000 -65.61491     0.00   0.01243     0.00 
 15.1000 -65.71852     0.00  -0.29520     0.00 
 15.2000 -65.66696     0.00   0.45853     0.00 
 15.3000 -65.48611     0.00  -0.07933     0.00 
 15.4000 -65.45111     0.00   0.03700     0.00 
 15.5000 -65.53917     0.00  -0.15354     0.00 
 15.6000 -65.39298     0.00   0.08220     0.00 
 15.7000 -65.28989     0.00  -0.04986     0.00 
 15.8000 -65.36586     0.00   1.05596     0.00 
 15.9000 -65.62599     0.00   0.10590     0.00 
 16.0000 -65.94520     0.00  -0.20392     0.01 
 16.1000 -66.07573     0.00  -0.46942     0.01 
 16.2000 -65.84966     0.00   0.19713     0.01 
 16.3000 -66.08355     0.00   0.51669     0.01 
 16.4000 -65.98268     0.00  -0.36924     0.01 
 16.5000 -65.94971     0.00  -0.63713     0.02 
 16.6000 -66.33296     0.00  -0.18872     0.02 
 16.7000 -66.44351     0.00  -0.04005     0.03 
 16.8000 -66.54571     0.00   0.06281     0.03 
 16.9000 -66.82168     0.00  -0.42823     0.04 
 17.0000 -66.22177     0.00   0.13461     0.05 
 17.1000 -65.95331     0.00  -0.77925     0.06 
 17.2000 -66.08010     0.00  -0.66540     0.08 
 17.3000 -65.98800     0.00  -0.39697     0.10 
 17.4000 -65.89352     0.00   0.09324     0.12 
 17.5000 -65.90835     0.00   0.37846     0.14 
 17.6000 -65.72409     0.00  -0.20861     0.18 
 17.7000 -65.80825     0.00  -0.53206     0.22 
 17.8000 -65.61787     0.00   0.54732     0.27 
 17.9000 -65.24477     0.00  -0.25104     0.32 
 18.0000 -65.27589     0.00   0.39283     0.65 
 18.1000 -65.24831     0.00   0.52051     0.88 
 18.2000 -65.21492     0.00  -0.05281     1.15 
 18.3000 -65.31363     0.00  -0.46890     1.38 
 18.4000 -64.81428     0.00  -0.14573     1.63 
 18.5000 -64.88922     0.00  -0.27638     1.93 
 18.6000 -64.88901     0.00   0.14845     2.27 
 18.7000 -64.92393     0.00   0.00897     2.67 
 18.8000 -64.87232     0.00  -0.66622     3.13 
 18.9000 -64.68927     0.00  -0.12132     3.66 
 19.0000 -64.81913     0.00   0.23539     4.26 
 19.1000 -64.64960     0.00   0.11964     4.96 
 19.2000 -64.41274     0.00   0.59803     5.74 
 19.3000 -64.34978     0.00  -0.59249     6.64 
 19.4000 -64.60023     0.00  -0.04854     7.66 
 19.5000 -64.52397     0.00   0.07873     8.80 
 19.6000 -64.83097     0.00   0.32446    10.09 
 19.7000 -64.70539     0.00   0.25773    11.52 
 19.8000 -64.94837     0.00   0.12166    13.13 
 19.9000 -64.95180     0.00   0.56598    14.91 
 20.0000 -65.15773     0.00   0.52525    16.89 
 20.1000 -65.14237     0.00  -0.52856    19.07 
 20.2000 -65.09930     0.00  -0.04001    21.46 
 20.3000 -64.88330     0.00   0.32546    24.07 
 20.4000 -64.93218     0.00  -0.24642    26.91 
 20.5000 -64.69378     0.00   0.43008    29.98 
 20.6000 -64.64906     0.00   0.24207    33.28 
 20.7000 -64.68880     0.00  -1.05449    36.82 
 20.8000 -64.93149     0.00  -0.12617    40.58 
 20.9000 -65.05575     0.00   0.01449    44.55 
 21.0000 -65.01762     0.00   0.19730    48.72 
 21.1000 -65.05820     0.00   0.90892    53.08 
 21.2000 -64.97847     0.00   0.77867    57.58 
 21.3000 -64.49264     0.00   0.40587    62.20 
 21.4000 -64.49195     0.00  -0.03993    66.88 
 21.5000 -64.42684     0.00  -0.66898    71.57 
 21.6000 -64.50067     0.00   0.27674    76.21 
 21.7000 -64.54110     0.00   0.63247    80.73 
 21.8000 -64.63425     0.00  -0.61485    85.04 
 21.9000 -64.78864     0.00  -0.26248    89.06 
 22.0000 -64.80185     0.00  -0.94529    92.72 
 22.1000 -64.75160     0.00  -0.17982    95.91 
 22.2000 -65.22022     0.00  -0.78713    98.57 
 22.3000 -65.24137     0.00  -0.19458   100.59 
 22.4000 -65.27214     0.00  -0.29379   101.88 
 22.5000 -65.60186     0.00   0.36906   102.34 
 22.6000 -65.65701     0.00   0.30842   101.90 
 22.7000 -65.62190     0.00   0.11816   100.49 
 22.8000 -65.78995     0.00   0.07206    98.07 
 22.9000 -65.75258     0.00   0.36039    94.61 
 23.0000 -65.93173     0.00  -0.07758    90.12 
 23.1000 -66.22197     0.00  -0.91385    84.62 
 23.2000 -66.25709     0.00  -0.81103    78.15 
 23.3000 -66.64338     0.00   0.10529    70.83 
 23.4000 -66.67238     0.00   0.08340    62.77 
 23.5000 -66.12335     0.00  -0.51527    54.13 
 23.6000 -66.24695     0.00  -0.23218    52.93 
 23.7000 -66.37975     0.00  -1.56562    53.55 
 23.8000 -66.58941     0.00  -0.33608    53.88 
 23.9000 -66.43787     0.00  -0.54239    53.89 
 24.0000 -66.73807     0.00  -0.01989    53.57 
 24.1000 -66.95083     0.00  -0.37550    52.90 
 24.2000 -66.89236     0.00   0.55502    51.87 
 24.3000 -66.97611     0.00   0.13002    50.48 
 24.4000 -67.13199     0.00  -0.21552    48.72 
 24.5000 -67.17136     0.00  -0.88520    46.63 
 24.6000 -67.34142     0.00  -0.81615    44.22 
 24.7000 -67.71128     0.00  -1.09564    41.54 
 24.8000 -67.93833     0.00  -1.35291    38.64 
 24.9000 -68.21264     0.00  -1.44312    35.58 
 25.0000 -68.10748     0.00  -1.09033    32.43 
 25.1000 -68.28209     0.00  -1.33673    29.24 
