  0.1000 -65.04192     0.00  -0.60354     0.48 
  0.2000 -64.55680     0.00  -0.69033     3.40 
  0.3000 -64.32502     0.00  -0.15372     4.56 
  0.4000 -64.25798     0.00  -0.93953     6.05 
  0.5000 -64.36421     0.00  -0.37509     7.92 
  0.6000 -64.21798     0.00   0.27008    10.25 
  0.7000 -64.20329     0.00  -0.16986    13.13 
  0.8000 -63.92486     0.01   0.39910    16.63 
  0.9000 -63.72902     0.01   0.16206    20.85 
  1.0000 -63.57171     0.01   0.02536    25.90 
  1.1000 -63.32224     0.01  -0.39233    31.88 
  1.2000 -63.10164     0.01  -0.52398    38.92 
  1.3000 -62.78660     0.01  -0.34726    47.10 
  1.4000 -62.28562     0.02   0.72083    56.54 
  1.5000 -62.14115     0.02  -0.15429    67.36 
  1.6000 -62.22415     0.02   0.27701    79.64 
  1.7000 -61.98620     0.03   0.08239    93.45 
  1.8000 -62.19458     0.04   0.11479   108.80 
  1.9000 -62.01928     0.05  -0.22656   125.66 
  2.0000 -61.85454     0.06   0.18143   143.89 
  2.1000 -61.51631     0.07  -0.69393   163.26 
  2.2000 -61.26007     0.09   0.17463   184.21 
  2.3000 -60.85233     0.10   0.45473   205.22 
  2.4000 -60.84612     0.12   0.11280   227.16 
  2.5000 -60.77905     0.14  -0.15734   249.81 
  2.6000 -60.71854     0.16  -0.28913   272.91 
  2.7000 -61.09705     0.17  -0.16999   295.69 
  2.8000 -61.06447     0.17  -0.16047   318.07 
  2.9000 -61.34583     0.16  -0.62287   339.40 
  3.0000 -61.11054     0.14  -0.34551   358.93 
  3.1000 -61.14147     0.10   0.58246   375.81 
  3.2000 -61.09621     0.05  -0.04641   389.11 
  3.3000 -60.98349     0.00  -0.47416   388.47 
  3.4000 -60.81505     0.00  -0.59734   381.17 
  3.5000 -60.80154     0.00  -0.37617   366.84 
  3.6000 -60.99036     0.00  -0.20386   345.55 
  3.7000 -61.28396     0.00  -0.78591   314.87 
  3.8000 -61.57318     0.00  -0.88664   280.12 
